Player,Team,Age,Height,Weight,COLLEGE,COUNTRY,DRAFT,YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Neemias Queta  ,    BOS  ,24,    7-0  ,248,    Utah State  ,    Portugal  ,2021,2,39,3,1.3,1,0,40.7,8.3,11.1,10.3,66.7,0,
Nickeil Alexander-Walker  ,    MIN  ,25,    6-5  ,205,    Virginia Tech  ,    Canada  ,2019,1,17,16,7.3,1.8,2.3,0.5,1.3,6.8,14.9,49.8,14.6,
Nicolas Batum  ,    PHI  ,35,    6-8  ,230,    None  ,    France  ,2008,1,25,6,6.3,5.8,1.3,-4.7,5,13.8,9.7,58.4,7.4,
Nikola Jokic  ,    DEN  ,29,    6-11  ,284,    None  ,    Serbia  ,2014,2,41,12,28.7,13.4,8.7,2,9.2,26,29.1,62.5,37,
Nikola Jovic  ,    MIA  ,21,    6-10  ,205,    None  ,    Serbia  ,2022,1,27,5,9.4,6.6,2.2,-24.5,1.5,25,16.5,60.1,15.5,
Norman Powell  ,    LAC  ,31,    6-4  ,215,    UCLA  ,    USA  ,2015,2,46,6,12.8,2.8,0.3,-6.6,1.7,8,18.1,57,1.9,
OG Anunoby  ,    NYK  ,26,    6-7  ,240,    Indiana  ,    United Kingdom  ,2017,1,23,9,15.1,6,1.1,-0.7,2.1,15,16.9,58.3,4.5,
Obi Toppin  ,    IND  ,26,    6-9  ,220,    Dayton  ,    USA  ,2020,1,8,17,10.9,4.4,1.7,-0.1,2.9,18.5,19.7,63.4,11.9,
Olivier-Maxence Prosper  ,    DAL  ,21,    6-7  ,230,    Marquette  ,    Canada  ,2023,1,24,3,0,1,0.3,-30.1,0,27.3,11.1,0,25,
Orlando Robinson  ,    MIA  ,23,    6-10  ,235,    Fresno State  ,    USA  ,      ,      ,      ,1,0,1,1,50,0,50,16.7,0,50,
Oshae Brissett  ,    BOS  ,26,    6-7  ,210,    Syracuse  ,    Canada  ,      ,      ,      ,10,1.6,1.4,0,12.8,6.1,19,12.1,62.7,0,
Ousmane Dieng  ,    OKC  ,21,    6-9  ,185,    None  ,    France  ,2022,1,11,4,0.5,0,0,0,0,0,14.3,50,0,
P.J. Tucker  ,    LAC  ,39,    6-5  ,245,    Texas  ,    USA  ,2006,2,35,2,5.5,1.5,0,-40.3,9.1,0,12.9,91.7,0,
P.J. Washington  ,    DAL  ,25,    6-7  ,230,    Kentucky  ,    USA  ,2019,1,12,22,13,6.6,1.4,3.4,4.3,14,16.5,55.4,5.8,
Paolo Banchero  ,    ORL  ,21,    6-10  ,250,    Duke  ,    USA  ,2022,1,1,7,27,8.6,4,3.4,4.9,17.4,33.2,55.4,23.5,
Pascal Siakam  ,    IND  ,30,    6-8  ,245,    New Mexico State  ,    Cameroon  ,2016,1,27,17,21.6,7.5,3.8,4.2,7.5,14.4,25,57.8,15.7,
Pat Connaughton  ,    MIL  ,31,    6-5  ,209,    Notre Dame  ,    USA  ,2015,2,41,6,4.5,3.8,2.2,-0.9,2.5,14.7,10.1,52.2,14.4,
Patrick Beverley  ,    MIL  ,35,    6-2  ,180,    Arkansas  ,    USA  ,2009,2,42,6,8.2,3.3,5.5,-1.5,2,7.7,11.1,53.7,20.6,
Patty Mills  ,    MIA  ,35,    6-2  ,180,    St. Mary's  ,    Australia  ,2009,2,55,3,6,0.3,1,-10.4,2,0,18.6,48,9.1,
Paul George  ,    LAC  ,34,    6-8  ,220,    Fresno State  ,    USA  ,2010,1,10,6,19.5,6.8,4.8,-4.8,1.4,17.7,24.5,55.2,22.7,
Paul Reed  ,    PHI  ,25,    6-9  ,210,    DePaul  ,    USA  ,2020,2,58,6,1.5,2.7,0.3,-52.6,15.5,15.6,12.5,45.5,10,
Payton Pritchard  ,    BOS  ,26,    6-1  ,195,    Oregon  ,    USA  ,2020,1,26,19,6.4,1.9,2.1,5.7,4.1,6.8,16,55.3,16.3,
Peyton Watson  ,    DEN  ,21,    6-7  ,200,    UCLA  ,    USA  ,2022,1,30,10,1.8,1.5,0.4,-17.3,1.8,13.7,13.9,33.8,7.7,
Precious Achiuwa  ,    NYK  ,24,    6-8  ,243,    Memphis  ,    Nigeria  ,2020,1,20,9,5.2,4.2,0.6,-6.4,11.3,9.1,12.4,48.2,3.9,
Reggie Jackson  ,    DEN  ,34,    6-2  ,208,    Boston College  ,    USA  ,2011,1,24,12,3.5,1.3,1,1.2,1.7,11.2,21.5,43,17.1,
Royce O'Neale  ,    PHX  ,31,    6-6  ,226,    Baylor  ,    USA  ,      ,      ,      ,4,5,4.8,1,-19.5,5.1,13,10.2,45.5,6.3,
Rudy Gobert  ,    MIN  ,31,    7-1  ,258,    None  ,    France  ,2013,1,27,15,12.1,9.8,1.6,9.8,8.4,22.9,13.9,65.2,6.6,
Rui Hachimura  ,    LAL  ,26,    6-8  ,230,    Gonzaga  ,    Japan  ,2019,1,9,5,7.8,3.8,0.8,-7.6,4.1,8.1,13.4,47,3.4,
Russell Westbrook  ,    LAC  ,35,    6-4  ,200,    UCLA  ,    USA  ,2008,1,4,6,6.3,4.2,1.7,2.3,4.6,16.2,23.9,34.1,13.7,
Sam Hauser  ,    BOS  ,26,    6-7  ,217,    Virginia  ,    USA  ,      ,      ,      ,19,5.4,2.2,0.6,15.5,3,11.9,14.1,60.1,5.5,
Sam Merrill  ,    CLE  ,28,    6-4  ,205,    Utah State  ,    USA  ,2020,2,60,10,3.3,1.2,0.9,-4.6,1.7,9,11.4,54.4,10,
Shai Gilgeous-Alexander  ,    OKC  ,25,    6-6  ,195,    Kentucky  ,    Canada  ,2018,1,11,10,30.2,7.2,6.4,6.4,1.9,15.2,31.2,58.2,29.6,
Shake Milton  ,    NYK  ,27,    6-5  ,205,    Southern Methodist  ,    USA  ,2018,2,54,4,1.3,0.3,0.5,26.6,0,5.6,16.7,28.9,20,
Spencer Dinwiddie  ,    LAL  ,31,    6-5  ,215,    Colorado  ,    USA  ,2014,2,38,5,3,1.4,1.6,-12.4,1.3,7.6,10.5,45.1,15.7,
Svi Mykhailiuk  ,    BOS  ,27,    6-7  ,205,    Kansas  ,    Ukraine  ,2018,2,47,8,1,0.6,0.1,-8.6,3.4,12.9,21.5,33.3,5.6,
T.J. McConnell  ,    IND  ,32,    6-1  ,190,    Arizona  ,    USA  ,2015,0,      ,17,11.8,3.1,5.1,1.1,3.2,11.9,25.7,52.2,36.3,
T.J. Warren  ,    MIN  ,30,    6-8  ,220,    North Carolina State  ,    USA  ,2014,1,14,3,0,1,0.3,27.1,15.4,7.1,7.1,0,12.5,
Taurean Prince  ,    LAL  ,30,    6-6  ,218,    Baylor  ,    USA  ,2016,1,12,5,7.4,2.4,0.6,-3.2,1,9.4,13.2,56.9,3.9,
Terance Mann  ,    LAC  ,27,    6-5  ,215,    Florida State  ,    USA  ,2019,2,48,6,9.3,5,1.8,-5.3,9.1,7,13.2,56.5,8.8,
Thaddeus Young  ,    PHX  ,36,    6-8  ,225,    Georgia Tech  ,    USA  ,2007,1,12,1,0,0,0,-62.5,0,0,0,0,0,
Thanasis Antetokounmpo  ,    MIL  ,31,    6-7  ,219,    None  ,    Greece  ,2014,2,51,2,0,0,0,9.1,0,0,0,0,0,
Thomas Bryant  ,    MIA  ,26,    6-10  ,248,    Indiana  ,    USA  ,2017,2,42,2,6,2.5,0.5,-15.1,11.8,17.6,28.6,72.1,14.3,
Tim Hardaway Jr.  ,    DAL  ,32,    6-5  ,205,    Michigan  ,    USA  ,2013,1,24,14,4.4,1.8,0.4,-10,1.1,12,15.1,49.6,4.4,
Tobias Harris  ,    PHI  ,31,    6-8  ,226,    Tennessee  ,    USA  ,2011,1,19,6,9,7.2,1.5,-1.1,4.3,14.3,11.8,51.2,6.2,
Trey Murphy III  ,    NOP  ,24,    6-8  ,206,    Virginia  ,    USA  ,2021,1,17,4,11.5,6.5,2.3,-17.8,1.6,14.5,14.2,47.9,9.1,
Tristan Thompson  ,    CLE  ,33,    6-9  ,254,    Texas-Austin  ,    Canada  ,2011,1,4,10,1.5,2,1,-17.7,10.2,12,9.5,44.4,18.9,
Tyler Herro  ,    MIA  ,24,    6-5  ,195,    Kentucky  ,    USA  ,2019,1,13,5,16.8,3.6,5.4,-11.6,0,9.9,24.4,51,24.3,
Tyrese Haliburton  ,    IND  ,24,    6-5  ,185,    Iowa State  ,    USA  ,2020,1,12,15,18.7,4.8,8.2,4.9,2.4,11.5,21.4,62.6,32,
Tyrese Maxey  ,    PHI  ,23,    6-2  ,200,    Kentucky  ,    USA  ,2020,1,21,6,29.8,5.2,6.8,-1.6,0.4,10.8,27.5,59.5,29.7,
Wendell Carter Jr.  ,    ORL  ,25,    6-10  ,270,    Duke  ,    USA  ,2018,1,7,7,7.6,6.3,1.3,6.2,4.6,18.4,13.3,51.1,7.8,
Wendell Moore Jr.  ,    MIN  ,22,    6-5  ,215,    Duke  ,    USA  ,2022,1,26,6,1.2,0.3,0.3,19.3,0,9.1,18.6,50,18.2,
Xavier Tillman  ,    BOS  ,25,    6-7  ,245,    Michigan State  ,    USA  ,2020,2,35,8,1.5,1.8,0.4,19,6.3,13.7,7.1,71.1,6,
Zeke Nnaji  ,    DEN  ,23,    6-9  ,240,    Arizona  ,    USA  ,2020,1,22,3,1.7,0.7,0,-20.3,10,0,18.2,    ,,
,,,,,,,,,,,,,,,,,,,,
Player  ,    Team  ,    Age  ,    Height  ,    Weight  ,    COLLEGE  ,    COUNTRY  ,    DRAFT YEAR  ,    DRAFT ROUND  ,    DRAFT NUMBER  ,    GP  ,    PTS  ,    REB  ,    AST  ,    NETRTG  ,    OREB%  ,    DREB%  ,    USG%  ,    TS%  ,    AST%,
Aaron Gordon  ,    DEN  ,27,    6-8  ,235,    Arizona  ,    USA  ,2014,1,4,20,13.3,6,2.6,12.2,7.2,9.7,15.2,58.8,9.7,
Aaron Holiday  ,    ATL  ,26,    6-0  ,185,    UCLA  ,    USA  ,2018,1,23,1,0,0,1,-17.9,0,0,14.3,0,50,
Al Horford  ,    BOS  ,37,    6-9  ,240,    Florida  ,    Dominican Republic  ,2007,1,3,20,6.7,7.2,3,5,5,18.2,10.4,49.7,12.6,
Alex Len  ,    SAC  ,30,    7-2  ,250,    Maryland  ,    Ukraine  ,2013,1,5,7,2.7,2.9,0.1,21.2,11.1,22.8,12.9,81.6,2.1,
Amir Coffey  ,    LAC  ,26,    6-7  ,210,    Minnesota  ,    USA  ,      ,      ,      ,1,0,0,0,-100,0,0,0,0,0,
Andrew Wiggins  ,    GSW  ,28,    6-7  ,197,    Kansas  ,    Canada  ,2014,1,1,13,16.7,5.6,1.9,3.5,4.8,10.1,19.8,53.8,8.1,
Anthony Davis  ,    LAL  ,30,    6-10  ,253,    Kentucky  ,    USA  ,2012,1,1,16,22.6,14.1,2.6,3.7,6.4,27,23.7,59.9,10.4,
Anthony Edwards  ,    MIN  ,21,    6-4  ,225,    Georgia  ,    USA  ,2020,1,1,5,31.6,5,5.2,-2.3,1.7,11.6,32.8,60.2,23.6,
Anthony Lamb  ,    GSW  ,25,    6-6  ,227,    Vermont  ,    USA  ,      ,      ,      ,6,0.8,1,0,-8.6,2.9,11.6,9.2,50,0,
Austin Reaves  ,    LAL  ,25,    6-5  ,197,    Oklahoma  ,    USA  ,      ,      ,      ,16,16.9,4.4,4.6,5.8,3.5,7.9,17.9,61.6,17.8,
Austin Rivers  ,    MIN  ,30,    6-4  ,200,    Duke  ,    USA  ,2012,1,10,4,2.5,1.3,0.3,-19.4,2,8.5,8.8,62.5,4,
Bam Adebayo  ,    MIA  ,25,    6-9  ,255,    Kentucky  ,    USA  ,2017,1,14,23,17.9,9.9,3.7,2.2,7.3,19.6,23.4,53,16.1,
Bismack Biyombo  ,    PHX  ,30,    6-8  ,255,    None  ,    DRC  ,2011,1,7,8,3.4,3.4,0.8,-9.2,12.8,20.7,15.3,56.4,10,
Blake Griffin  ,    BOS  ,34,    6-9  ,250,    Oklahoma  ,    USA  ,2009,1,1,1,0,2,0,-9,14.3,14.3,6.7,0,0,
Bobby Portis  ,    MIL  ,28,    6-11  ,250,    Arkansas  ,    USA  ,2015,1,22,5,9.6,8.2,1.2,2.6,9.3,33.3,18,56.7,6.9,
Bogdan Bogdanovic  ,    ATL  ,30,    6-5  ,225,    None  ,    Serbia  ,2014,1,27,6,13.3,3,2.5,6.2,1.1,10.7,15.4,70.1,12.5,
Bones Hyland  ,    LAC  ,22,    6-2  ,169,    Virginia Commonwealth  ,    USA  ,2021,1,26,5,8.6,0.8,0.8,11.6,1.1,3.6,26.2,44.4,6.6,
Brandon Boston Jr.  ,    LAC  ,21,    6-6  ,188,    Kentucky  ,    USA  ,2021,2,51,1,0,0,0,-100,0,0,100,0,0,
Brook Lopez  ,    MIL  ,35,    7-1  ,282,    Stanford  ,    USA  ,2008,1,10,5,19,6.4,1.2,-7.4,7.5,10.3,19,65.3,4.8,
Bruce Brown  ,    DEN  ,26,    6-4  ,202,    Miami  ,    USA  ,2018,2,42,20,12,4,1.9,8.6,3.1,12.1,18.4,60.7,10.6,
Caleb Martin  ,    MIA  ,27,    6-5  ,205,    Nevada  ,    USA  ,      ,      ,      ,23,12.7,5.4,1.6,7,4,14.1,15.7,65.7,7.8,
Cam Thomas  ,    BKN  ,21,    6-3  ,210,    Louisiana State  ,    Japan  ,2021,1,27,2,3,0.5,0.5,-44.8,0,8.3,24.2,42.9,14.3,
Cameron Johnson  ,    BKN  ,27,    6-8  ,210,    North Carolina  ,    USA  ,2019,1,11,4,18.5,5.8,2.8,-13.5,1.9,12.8,19.5,63.7,14.1,
Cameron Payne  ,    PHX  ,28,    6-1  ,183,    Murray State  ,    USA  ,2015,1,14,7,8.1,2,2.9,-10.5,0,9.9,17.1,57.8,19.4,
Caris LeVert  ,    CLE  ,28,    6-6  ,205,    Michigan  ,    USA  ,2016,1,20,5,15,4.6,2.6,-7.1,2.6,10.9,20.1,54.6,13.8,
Cedi Osman  ,    CLE  ,28,    6-7  ,230,    None  ,    Turkey  ,2015,2,31,5,6,3,1,-11.7,1.1,14.9,16.5,51.8,9.1,
Chimezie Metu  ,    SAC  ,26,    6-9  ,225,    Southern California  ,    USA  ,2018,2,49,3,0.7,0.3,0,72.7,12.5,0,17.6,43.1,0,
Chris Paul  ,    PHX  ,38,    6-0  ,175,    Wake Forest  ,    USA  ,2005,1,4,7,12.4,5,7.4,7.9,2.2,11.6,17.3,46.9,26.5,
Christian Braun  ,    DEN  ,22,    6-6  ,220,    Kansas  ,    USA  ,2022,1,21,19,3.2,2.1,0.6,-2.5,5.4,10.3,11,57.2,6.4,
Clint Capela  ,    ATL  ,29,    6-10  ,256,    None  ,    Switzerland  ,2014,1,25,6,8.3,8.3,0.5,-7.6,8.7,23.5,12.1,61.5,2.6,
Cody Zeller  ,    MIA  ,30,    6-11  ,240,    Indiana  ,    USA  ,2013,1,4,21,2.2,2.3,0.3,1,6.5,21.5,13.9,55.3,5.6,
D'Angelo Russell  ,    LAL  ,27,    6-4  ,193,    Ohio State  ,    USA  ,2015,1,2,16,13.3,2.9,4.6,0.1,2.1,6.9,21.2,51.6,22.4,
DaQuan Jeffries  ,    NYK  ,25,    6-5  ,222,    Tulsa  ,    USA  ,      ,      ,      ,2,0,0,0,-54.5,0,0,0,0,0,
Damion Lee  ,    PHX  ,30,    6-5  ,210,    Drexel  ,    USA  ,      ,      ,      ,8,2.1,1.4,0.6,-1.3,4.2,9,10.4,40.7,6.8,
Danny Green  ,    CLE  ,36,    6-6  ,215,    North Carolina  ,    USA  ,2009,2,46,4,0.8,1.8,0.3,-12.9,5.4,10.4,8.4,30,4.2,
Danuel House Jr.  ,    PHI  ,30,    6-6  ,220,    Texas A&M  ,    USA  ,      ,      ,      ,7,2.9,1.7,0.1,-21.7,0,27.3,23.7,46.6,4.8,
Darius Garland  ,    CLE  ,23,    6-1  ,192,    Vanderbilt  ,    USA  ,2019,1,5,5,20.6,1.8,5,-4.3,0,4.7,26.5,56.6,22.9,
David Duke Jr.  ,    BKN  ,23,    6-4  ,204,    Providence  ,    USA  ,      ,      ,      ,1,2,0,0,-32.2,0,0,36.4,33.3,0,
David Roddy  ,    MEM  ,22,    6-4  ,255,    Colorado State  ,    USA  ,2022,1,23,6,3.8,2.8,0.7,-20.4,3.6,17.1,15.4,39.1,8.2,
Davion Mitchell  ,    SAC  ,24,    6-0  ,202,    Baylor  ,    USA  ,2021,1,9,7,7.1,1.3,1.7,-6.7,1.7,3.7,14.5,51.4,13.8,
Day'Ron Sharpe  ,    BKN  ,21,    6-9  ,265,    North Carolina  ,    USA  ,2021,1,29,2,3,3,2.5,-29.7,15.4,30.8,14,77.3,33.3,
De'Aaron Fox  ,    SAC  ,25,    6-3  ,185,    Kentucky  ,    USA  ,2017,1,5,7,27.4,5.4,7.7,-2.8,3.9,8.8,30.5,52.4,32.3,
De'Andre Hunter  ,    ATL  ,25,    6-8  ,221,    Virginia  ,    USA  ,2019,1,4,6,16.7,5.7,1.2,-2.2,2.7,13,17.9,55.9,4,
De'Anthony Melton  ,    PHI  ,25,    6-2  ,200,    Southern California  ,    USA  ,2018,2,46,11,7.9,3.3,1.6,0.7,5.1,8.1,15,51.5,10.4,
DeAndre Jordan  ,    DEN  ,34,    6-11  ,265,    Texas A&M  ,    USA  ,2008,2,35,4,1.3,1,0.3,21.8,0,20,15.8,64.4,12.5,
Dean Wade  ,    CLE  ,26,    6-9  ,228,    Kansas State  ,    USA  ,      ,      ,      ,2,1,1.5,0,-24.2,0,20,7.4,53.2,0,
Deandre Ayton  ,    PHX  ,24,    7-0  ,250,    Arizona  ,    Bahamas  ,2018,1,1,10,13.4,9.7,1,-2.5,9.6,21.3,18.6,55.3,4.3,
Dejounte Murray  ,    ATL  ,26,    6-5  ,180,    Washington  ,    USA  ,2016,1,29,5,23,7.2,6.8,-8.1,4,15.5,24.4,53.8,27,
Dennis Schroder  ,    LAL  ,29,    6-1  ,172,    None  ,    Germany  ,2013,1,17,16,7.4,1.9,2.9,5.3,0.7,5.9,13.9,51.2,15,
Derrick Rose  ,    NYK  ,34,    6-3  ,200,    Memphis  ,    USA  ,2008,1,1,1,0,0,1,-100,0,0,57.1,0,100,
Derrick White  ,    BOS  ,28,    6-4  ,190,    Colorado  ,    USA  ,2017,1,29,20,13.4,3,2.1,0.6,2.2,7.2,16,67.1,10.3,
Desmond Bane  ,    MEM  ,25,    6-5  ,215,    TCU  ,    USA  ,2020,1,30,6,23.5,6,3.2,-5.7,2.7,11.9,25.9,54.8,14,
Devin Booker  ,    PHX  ,26,    6-5  ,206,    Kentucky  ,    USA  ,2015,1,13,11,33.7,4.8,7.2,-3.4,2.8,8.8,28.3,68.6,28.2,
Dewayne Dedmon  ,    PHI  ,33,    6-10  ,245,    USC  ,    USA  ,      ,      ,      ,1,0,1,0,-49.1,0,50,16.7,0,0,
Dillon Brooks  ,    MEM  ,27,    6-6  ,225,    Oregon  ,    Canada  ,2017,2,45,6,10.5,3,1.8,-11.4,1.5,9,21.8,39.3,11.1,
Domantas Sabonis  ,    SAC  ,27,    7-1  ,240,    Gonzaga  ,    Lithuania  ,2016,1,11,7,16.4,11,4.7,-9.5,10.5,16.7,22.1,51.7,21.6,
Donovan Mitchell  ,    CLE  ,26,    6-1  ,215,    Louisville  ,    USA  ,2017,1,13,5,23.2,5,7.2,-2.8,1.6,10.2,29.6,51.8,31.6,
Donte DiVincenzo  ,    GSW  ,26,    6-4  ,203,    Villanova  ,    USA  ,2018,1,17,13,5.5,3,2.8,-8.8,4.3,10.4,14.8,51.2,21.1,
Dorian Finney-Smith  ,    BKN  ,30,    6-7  ,220,    Florida  ,    USA  ,      ,      ,      ,4,6.3,4.5,0.8,-6.6,6.3,11.5,13.4,54.3,4.7,
Draymond Green  ,    GSW  ,33,    6-6  ,230,    Michigan State  ,    USA  ,2012,2,35,12,9.4,6.9,6.8,-1.5,4.5,15.8,14.5,53.5,28.7,
Duncan Robinson  ,    MIA  ,29,    6-7  ,215,    Michigan  ,    USA  ,      ,      ,      ,23,9,1.5,1.7,8.6,0.2,8.2,19.1,64.1,13.7,
Edmond Sumner  ,    BKN  ,27,    6-4  ,196,    Xavier  ,    USA  ,2017,2,52,1,0,0,1,-32.2,0,0,0,0,33.3,
Eric Gordon  ,    LAC  ,34,    6-3  ,215,    Indiana  ,    USA  ,2008,1,7,5,10.2,1.4,2.6,-11.1,0.7,4.4,14.3,54.7,12.4,
Evan Mobley  ,    CLE  ,22,    6-11  ,215,    Southern California  ,    USA  ,2021,1,3,5,9.8,10,2,-0.3,8.5,17.3,15.6,47.6,8.5,
Furkan Korkmaz  ,    PHI  ,25,    6-7  ,202,    None  ,    Turkey  ,2016,1,26,3,0.7,0.3,0.3,-8.9,0,11.1,16.7,34.7,12.5,
Gabe Vincent  ,    MIA  ,27,    6-2  ,200,    California-Santa Barbara  ,    USA  ,      ,      ,      ,22,12.7,1.4,3.5,2.8,1.1,3.4,19.2,53.5,17.1,
Gary Payton II  ,    GSW  ,30,    6-2  ,195,    Oregon State  ,    USA  ,      ,      ,      ,12,6.8,3.7,0.8,-7.9,10.4,11.6,14.8,70.7,7,
Georges Niang  ,    PHI  ,30,    6-7  ,230,    Iowa State  ,    USA  ,2016,2,50,11,4.4,0.4,0.2,-5.2,0,2.8,11.7,66.7,2,
Giannis Antetokounmpo  ,    MIL  ,28,    7-0  ,243,    None  ,    Greece  ,2013,1,15,3,23.3,11,5.3,-8.9,8.2,26,34.2,52.5,34,
Goran Dragic  ,    MIL  ,37,    6-4  ,190,    None  ,    Slovenia  ,2008,2,45,2,2,0,0.5,-31.3,0,0,23.5,53.2,20,
Grant Williams  ,    BOS  ,24,    6-6  ,236,    Tennessee  ,    USA  ,2019,1,22,15,5.1,2.2,1.2,-4,4.3,9.2,10.3,66.2,9.4,
Grayson Allen  ,    MIL  ,27,    6-4  ,198,    Duke  ,    USA  ,2018,1,21,5,11.6,2.4,1.8,-2,0.6,7.6,12.9,65.8,7.6,
Harrison Barnes  ,    SAC  ,31,    6-8  ,225,    North Carolina  ,    USA  ,2012,1,7,7,10.7,3.4,0.7,-12.2,4.1,6.5,14.8,52.5,3.8,
Haywood Highsmith  ,    MIA  ,26,    6-5  ,220,    Wheeling Jesuit  ,    USA  ,2018,      ,      ,18,3.3,1.3,0.3,-1.2,6.3,9.3,11.8,72.8,4.5,
Immanuel Quickley  ,    NYK  ,24,    6-2  ,190,    Kentucky  ,    USA  ,2020,1,25,8,9,1.6,1,5,1.1,5.8,20.6,48.1,7.9,
Isaac Okoro  ,    CLE  ,22,    6-5  ,225,    Auburn  ,    USA  ,2020,1,5,5,6.4,1.4,0.8,3.9,4.1,4.8,18,62.4,10.3,
Isaiah Hartenstein  ,    NYK  ,25,    7-0  ,250,    None  ,    Germany  ,2017,2,43,11,3.1,4.6,1.3,-0.5,10.2,12.7,7.1,56.6,9.2,
Ish Smith  ,    DEN  ,34,    6-0  ,175,    Wake Forest  ,    USA  ,      ,      ,      ,4,0.5,0.3,0.3,-21.7,0,6.7,8,50,20,
Ish Wainright  ,    PHX  ,28,    6-5  ,250,    Baylor  ,    USA  ,      ,      ,      ,6,0.5,0.2,0,-17.3,0,4.3,7.3,37.5,0,
Ivica Zubac  ,    LAC  ,26,    7-0  ,240,    None  ,    Croatia  ,2016,2,32,5,9.2,9.6,0.6,-17.6,11.9,28.1,15.7,62.1,3.3,
Ja Morant  ,    MEM  ,23,    6-2  ,174,    Murray State  ,    USA  ,2019,1,2,5,24.6,6.8,7,-3.7,3.5,13.6,28.7,52.4,32.4,
JaMychal Green  ,    GSW  ,33,    6-9  ,227,    Alabama  ,    USA  ,      ,      ,      ,7,3.3,0.7,0.4,-18.2,0,8.8,22.9,50,12,
Jaden Springer  ,    PHI  ,20,    6-4  ,202,    Tennessee  ,    USA  ,2021,1,28,4,2.3,0,0,9.1,0,0,16.7,92.2,0,
Jae Crowder  ,    MIL  ,32,    6-6  ,235,    Marquette  ,    USA  ,2012,2,34,4,1.8,1,0.8,-18.7,2.2,8.8,14.9,25.2,9.4,
Jalen Brunson  ,    NYK  ,26,    6-2  ,190,    Villanova  ,    USA  ,2018,2,33,11,27.8,4.9,5.6,3.8,2,10.3,27.7,58.9,26.8,
Jalen Johnson  ,    ATL  ,21,    6-8  ,219,    Duke  ,    USA  ,2021,1,20,6,4.3,2.5,1.3,-0.6,3.6,22.8,23.3,52.3,20.5,
Jalen McDaniels  ,    PHI  ,25,    6-9  ,205,    San Diego State  ,    USA  ,2019,2,52,8,2.4,2,0.6,8.2,3.3,14,10.1,47.5,7.1,
Jamal Murray  ,    DEN  ,26,    6-4  ,215,    Kentucky  ,    Canada  ,2016,1,7,20,26.1,5.7,7.1,10.5,2,12.2,26.9,58.6,26.9,
James Harden  ,    PHI  ,33,    6-5  ,220,    Arizona State  ,    USA  ,2009,1,3,11,20.3,6.2,8.3,-5.3,1.4,15.6,25.7,53.8,37,
Jaren Jackson Jr.  ,    MEM  ,23,    6-10  ,242,    Michigan State  ,    USA  ,2018,1,4,6,18,7.8,1.5,-8,7.9,11.5,22.2,54.6,6.8,
Jarred Vanderbilt  ,    LAL  ,24,    6-8  ,214,    Kentucky  ,    USA  ,2018,2,41,15,4.6,3.2,0.8,-3,7.4,10.4,13.9,50.1,6.5,
Jarrett Allen  ,    CLE  ,25,    6-9  ,243,    Texas  ,    USA  ,2017,1,22,5,9.4,7.4,2.4,-6.5,8.3,11.4,10.2,60.8,9.5,
Jason Preston  ,    LAC  ,23,    6-3  ,181,    Ohio  ,    USA  ,2021,2,33,1,0,0,0,-100,0,0,0,0,0,
Jaylen Brown  ,    BOS  ,26,    6-6  ,223,    California  ,    USA  ,2016,1,3,20,22.7,5.6,3.4,1.6,3.4,11.2,27.2,57,15.1,
Jaylen Nowell  ,    MIN  ,23,    6-4  ,201,    Washington  ,    USA  ,2019,2,43,5,3.2,1,0.6,-25.4,5.8,1.7,20.1,29.8,8.3,
Jayson Tatum  ,    BOS  ,25,    6-8  ,210,    Duke  ,    USA  ,2017,1,3,20,27.2,10.5,5.3,4.6,3.4,22.5,29,58.5,21.4,
Jeff Green  ,    DEN  ,36,    6-8  ,235,    Georgetown  ,    USA  ,2007,1,5,20,4.1,1.6,0.7,-2.4,2,7.6,10.4,58.3,5.4,
Jevon Carter  ,    MIL  ,27,    6-1  ,200,    West Virginia  ,    USA  ,2018,2,32,4,1.3,1,1,-13.2,0,11.8,7.8,27.8,10.5,
Jimmy Butler  ,    MIA  ,33,    6-7  ,230,    Marquette  ,    USA  ,2011,1,30,22,26.9,6.5,5.9,-1,5.2,11.3,28.1,56.5,25.9,
Jock Landale  ,    PHX  ,27,    6-11  ,255,    St. Mary's  ,    Australia  ,      ,      ,      ,7,6.1,4,0.4,10.5,9.7,16.5,14.1,64.8,3.6,
Joe Harris  ,    BKN  ,31,    6-6  ,220,    Virginia  ,    USA  ,2014,2,33,4,1.8,1.3,0,9.9,0,11.9,17.2,25.2,0,
Joe Ingles  ,    MIL  ,35,    6-9  ,220,    None  ,    Australia  ,      ,      ,      ,5,6.8,1.2,2,-4.7,1.2,6.6,13.6,73.9,14.3,
Joel Embiid  ,    PHI  ,29,    7-0  ,280,    Kansas  ,    Cameroon  ,2014,1,3,9,23.7,9.8,2.7,-1.1,4.8,21.6,30.5,56.1,13,
John Collins  ,    ATL  ,25,    6-9  ,226,    Wake Forest  ,    USA  ,2017,1,19,6,11.3,4.3,0.8,-2.2,3.7,11.3,17.7,54.3,4.1,
John Konchar  ,    MEM  ,27,    6-5  ,210,    Indiana-Purdue Fort Wayne  ,    USA  ,      ,      ,      ,5,0.8,2,0.8,-18.5,5.8,13.3,8.1,22.2,12.1,
