Player,Team,Age,Height,Weight,COLLEGE,COUNTRY,DRAFT,YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Lavoy Allen  ,    IND  ,27,    6-9  ,255,    Temple  ,    USA  ,2011,2,50,6,1,2.3,0.3,-21.6,7.3,17.5,9.7,30,8,
LeBron James  ,    CLE  ,31,    6-8  ,250,    None  ,    USA  ,2003,1,1,21,26.3,9.5,7.6,13.4,5.3,19.3,30.1,58.5,34.9,
Leandro Barbosa  ,    GSW  ,33,    6-3  ,194,    None  ,    Brazil  ,2003,1,28,23,5.6,1.2,0.7,5.7,4.6,6.1,18.7,66.3,9.4,
Luc Mbah a Moute  ,    LAC  ,29,    6-8  ,230,    UCLA  ,    Cameroon  ,2008,2,37,5,1.8,2,0.2,-10,2.3,8.2,4.5,69.9,1.8,
Lucas Nogueira  ,    TOR  ,23,    7-0  ,220,    None  ,    Brazil  ,2013,1,16,5,1.2,1.6,0,-14.5,3.8,22.6,7.1,75,0,
Luis Montero  ,    POR  ,23,    6-7  ,185,    Westchester C.C.  ,    Dominican Republic  ,      ,      ,      ,6,1.3,0,0,-18.8,0,0,17.6,133.3,0,
Luis Scola  ,    TOR  ,36,    6-9  ,240,    None  ,    Argentina  ,2002,2,55,11,2.5,1.6,0.6,-18.3,1.3,11.9,13.5,39.1,9,
Luol Deng  ,    MIA  ,31,    6-9  ,220,    Duke  ,    United Kingdom  ,2004,1,7,14,13.3,5.9,1.6,5.8,4.1,12.3,16.7,60.1,6.9,
Manu Ginobili  ,    SAS  ,38,    6-6  ,205,    None  ,    Argentina  ,1999,2,57,10,6.7,2.7,2.5,13.5,3.1,10.5,14.9,58.6,18.4,
Marcus Morris Sr.  ,    DET  ,26,    6-9  ,235,    Kansas  ,    USA  ,2011,1,14,4,17.8,3.3,2.5,-9.2,1.5,8.2,21.6,62.1,11.8,
Marcus Smart  ,    BOS  ,22,    6-4  ,220,    Oklahoma State  ,    USA  ,2014,1,6,6,12,4.5,3,-4.5,3.6,9.5,18.2,52,15.9,
Marreese Speights  ,    GSW  ,28,    6-10  ,255,    Florida  ,    USA  ,2008,1,16,24,5.6,2,0.5,0.7,7.1,15.3,32.2,50.9,10,
Marvin Williams  ,    CHA  ,30,    6-9  ,237,    North Carolina  ,    USA  ,2005,1,2,7,5.1,6.9,0.9,-14.1,2.8,19,11.2,34.1,4.3,
Mason Plumlee  ,    POR  ,26,    6-11  ,235,    Duke  ,    USA  ,2013,1,22,11,7,11.8,4.8,-1.2,10.4,28.1,15,45.6,25.5,
Matt Barnes  ,    MEM  ,36,    6-7  ,226,    UCLA  ,    USA  ,2002,2,45,4,10.8,7.3,2.8,-24.2,3.3,19,20.3,42.7,15.1,
Matthew Dellavedova  ,    CLE  ,25,    6-4  ,198,    Saint Mary's  ,    Australia  ,      ,      ,      ,20,3.9,0.8,2.8,4.1,1.7,4.9,18.8,46.1,37.8,
Maurice Harkless  ,    POR  ,23,    6-9  ,215,    St. John's, N.Y.  ,    USA  ,2012,1,15,11,11,5.1,0.6,-4.8,6.9,11.3,20.6,50,4.6
Michael Beasley  ,    HOU  ,27,    6-10  ,235,    Kansas State  ,    USA  ,2008,1,2,5,10.4,4.2,0.6,-14.5,4.6,20.7,28,53,7.1,
Mike Muscala  ,    ATL  ,24,    6-11  ,240,    Bucknell  ,    USA  ,2013,2,44,9,2.7,1.9,0.3,-3,9.7,12.8,15.6,57.5,9.7,
Mike Scott  ,    ATL  ,27,    6-8  ,237,    Virginia  ,    USA  ,2012,2,43,10,6.5,3.2,0.5,5.6,3.4,15.9,14.2,74.7,4.7,
Mo Williams  ,    CLE  ,33,    6-1  ,198,    Alabama  ,    USA  ,2003,2,47,13,1.5,0.5,0.2,-15.3,0,7.7,26.4,34.6,10,
Monta Ellis  ,    IND  ,30,    6-3  ,185,    None  ,    USA  ,2005,2,40,7,11.6,3.9,4.3,0.7,2,9.5,20.3,50.4,24.2,
